[24.03.21 13:28:25] ınfo: DeltaPackageBuilder: \lib\net45\es\ZedGraph.resources.dll hasn't changed, writing dummy file
[24.03.21 13:28:25] ınfo: DeltaPackageBuilder: \lib\net45\fr\ZedGraph.resources.dll hasn't changed, writing dummy file
[24.03.21 13:28:25] ınfo: DeltaPackageBuilder: \lib\net45\hu\ZedGraph.resources.dll hasn't changed, writing dummy file
[24.03.21 13:28:25] ınfo: DeltaPackageBuilder: \lib\net45\it\ZedGraph.resources.dll hasn't changed, writing dummy file
[24.03.21 13:28:25] ınfo: DeltaPackageBuilder: \lib\net45\ja\ZedGraph.resources.dll hasn't changed, writing dummy file
[24.03.21 13:28:25] ınfo: DeltaPackageBuilder: \lib\net45\pt\ZedGraph.resources.dll hasn't changed, writing dummy file
[24.03.21 13:28:25] ınfo: DeltaPackageBuilder: \lib\net45\ru\ZedGraph.resources.dll hasn't changed, writing dummy file
[24.03.21 13:28:25] ınfo: DeltaPackageBuilder: \lib\net45\sk\ZedGraph.resources.dll hasn't changed, writing dummy file
[24.03.21 13:28:25] ınfo: DeltaPackageBuilder: \lib\net45\sv\ZedGraph.resources.dll hasn't changed, writing dummy file
[24.03.21 13:28:25] ınfo: DeltaPackageBuilder: \lib\net45\tr\ZedGraph.resources.dll hasn't changed, writing dummy file
[24.03.21 13:28:26] ınfo: DeltaPackageBuilder: \lib\net45\x64\cvextern.dll hasn't changed, writing dummy file
[24.03.21 13:28:26] ınfo: DeltaPackageBuilder: \lib\net45\x64\opencv_ffmpeg310_64.dll hasn't changed, writing dummy file
[24.03.21 13:28:26] ınfo: DeltaPackageBuilder: \lib\net45\x86\cvextern.dll hasn't changed, writing dummy file
[24.03.21 13:28:26] ınfo: DeltaPackageBuilder: \lib\net45\x86\opencv_ffmpeg310.dll hasn't changed, writing dummy file
[24.03.21 13:28:26] ınfo: DeltaPackageBuilder: \lib\net45\zh-cn\ZedGraph.resources.dll hasn't changed, writing dummy file
[24.03.21 13:28:26] ınfo: DeltaPackageBuilder: \lib\net45\zh-tw\ZedGraph.resources.dll hasn't changed, writing dummy file
[24.03.21 13:28:26] ınfo: Program: Building embedded zip file for Setup.exe
[24.03.21 13:28:47] ınfo: Program: Finished Squirrel Updater
